price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,classes
379500.0,2.0,1.0,1640,17335,1.0,0,0,3,840,800,1978,0,3301-3389 289th Ave NE,Redmond,WA 98053,high
408900.0,3.0,1.75,2930,19876,1.0,0,0,3,2030,900,1993,0,12542 NE 160th Pl,Woodinville,WA 98072,high
880000.0,6.0,2.5,2640,3680,2.0,0,0,5,1760,880,1922,1956,3008 38th Ave SW,Seattle,WA 98126,high
554729.0,4.0,2.5,2020,4350,2.0,0,0,5,1730,290,1943,0,4109 W Bertona St,Seattle,WA 98199,high
820000.0,4.0,2.5,3170,8523,2.0,0,0,3,3170,0,2008,0,9401 117th Ave NE,Kirkland,WA 98033,high
395000.0,3.0,1.75,1480,7700,1.0,0,0,3,1480,0,1975,0,13547 104th Pl NE,Kirkland,WA 98034,high
620000.0,4.0,3.0,2130,6325,1.0,0,0,5,1440,690,1948,1985,4002 50th Ave SW,Seattle,WA 98116,high
284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,2003,0,25434 160th Ave SE,Kent,WA 98042,low
404000.0,3.0,1.5,2030,8880,1.0,0,0,3,1330,700,1963,2008,4915 17th Ave S,Seattle,WA 98108,high
384950.0,3.0,2.5,1860,3690,2.0,0,0,3,1860,0,2000,0,7556 NE 203rd St,Kenmore,WA 98028,high
1710000.0,5.0,4.5,4590,14685,2.0,0,0,3,4590,0,2009,0,6402-6412 105th Ave NE,Kirkland,WA 98033,high
950100.0,4.0,2.5,3160,13194,2.0,0,0,5,3160,0,1965,0,6135 79th Ave SE,Mercer Island,WA 98040,high
745641.0,4.0,2.5,2440,4850,2.0,0,0,3,2440,0,2013,1923,11631 170th Ct NE,Redmond,WA 98052,high
470000.0,4.0,2.5,2310,14023,2.0,0,0,3,2310,0,1991,0,14923 280th Pl NE,Duvall,WA 98019,high
386000.0,3.0,1.5,1270,1318,2.0,0,0,3,1080,190,2004,2003,3613 Gilman Ave W,Seattle,WA 98199,high
580379.0,4.0,2.75,2240,27820,1.5,0,0,4,2240,0,1976,1992,21404 SE 19th St,Sammamish,WA 98075,high
268000.0,3.0,2.5,1650,6684,2.0,0,0,3,1650,0,1991,0,11813 SE 219th Pl,Kent,WA 98031,low
224000.0,3.0,1.75,1500,11968,1.0,0,0,3,1500,0,2014,0,32428-32598 5th Ave,Black Diamond,WA 98010,low
623000.0,3.0,2.5,1850,7777,2.0,0,0,5,1850,0,1989,0,12833 NE 101st Pl,Kirkland,WA 98033,high
1042031.0,4.0,5.0,4110,43560,2.0,0,0,4,4110,0,1978,2000,2808 120th Ave NE,Bellevue,WA 98005,high
366500.0,4.0,2.75,2070,9300,1.0,0,0,5,1120,950,1945,0,15511 9th Ave NE,Shoreline,WA 98155,high
427000.0,2.0,1.0,920,3780,1.0,0,0,3,920,0,1910,2006,807 N 42nd St,Seattle,WA 98103,high
390000.0,4.0,2.5,2340,8548,2.0,0,0,3,2340,0,1993,0,11824 SE 203rd St,Kent,WA 98031,high
536000.0,4.0,2.25,1990,5948,2.0,0,0,3,1990,0,1991,0,4002 258th Way SE,Issaquah,WA 98029,high
261350.0,3.0,1.75,1390,18200,1.0,0,0,4,1390,0,1962,0,157 SW 313th St,Federal Way,WA 98023,low
750000.0,4.0,2.75,2600,4674,1.0,0,0,3,1560,1040,1976,0,6820 39th Ave NE,Seattle,WA 98115,high
457500.0,3.0,2.25,1430,2003,2.0,0,0,3,980,450,1996,0,1362 31st Ave S,Seattle,WA 98144,high
175000.0,3.0,1.0,1010,7034,1.0,0,0,3,1010,0,1954,2005,207 NW 5th St,Renton,WA 98057,low
269950.0,4.0,2.5,2540,8400,2.0,0,0,5,2540,0,1977,0,25209 45th Ave S,Kent,WA 98032,low
334000.0,4.0,1.5,1150,9360,1.5,0,0,3,1150,0,1970,2014,13260 126 Ct NE,Kirkland,WA 98034,low
300000.0,4.0,3.0,2200,10800,1.0,0,0,3,2200,0,1960,2012,17237 129th Ave SE,Renton,WA 98058,low
442000.0,4.0,2.25,2080,12007,1.0,0,0,4,1220,860,1979,0,1740 216th Pl NE,Sammamish,WA 98074,high
320000.0,3.0,2.5,2680,7757,2.0,0,0,3,2680,0,1990,2009,833 SW 346th St,Federal Way,WA 98023,low
619500.0,3.0,2.5,1700,4105,2.0,0,0,3,1700,0,1992,0,3113 E Cherry St,Seattle,WA 98122,high
360000.0,4.0,1.5,1720,6417,1.0,0,0,3,1720,0,1953,0,13505 16th Ave NE,Seattle,WA 98125,high
1210000.0,4.0,2.75,3650,6982,2.0,0,2,4,2530,1120,1951,2003,4911 NE 65th St,Seattle,WA 98115,high
249950.0,2.0,1.0,940,8532,1.0,0,0,4,940,0,1959,0,628 SW 136th St,Burien,WA 98166,low
170000.0,2.0,1.0,1500,18540,1.0,0,0,3,1500,0,1950,2005,14426-14598 42nd Ave S,Tukwila,WA 98168,low
580000.0,4.0,1.75,1720,6975,1.0,0,0,3,1420,300,1975,0,4528 165th Ave NE,Redmond,WA 98052,high
1440000.0,3.0,3.5,3870,3819,2.0,0,0,3,2760,1110,2002,0,2720 Boyer Ave E,Seattle,WA 98102,high
235867.0,4.0,2.0,1330,5926,1.0,0,0,4,1330,0,1942,1982,2109 NE 8th St,Renton,WA 98056,low
2300000.0,4.0,3.25,4250,8570,2.0,0,0,3,4250,0,2004,2003,511 98th Ave NE,Bellevue,WA 98004,high
876650.0,3.0,3.25,2170,12508,1.5,0,0,5,1650,520,1928,1970,4436-4446 W Mercer Way,Mercer Island,WA 98040,high
669000.0,2.0,1.75,1950,10766,1.0,0,3,4,1160,790,1952,0,3533 SW 171st St,Burien,WA 98166,high
310000.0,3.0,1.5,1460,9908,1.0,0,0,3,1460,0,1952,2008,19539 4th Ave S,Des Moines,WA 98148,low
213400.0,3.0,1.5,1150,8686,1.0,0,0,4,1150,0,1963,0,11002 SE 180th St,Renton,WA 98055,low
820000.0,3.0,2.25,2880,9750,2.0,0,0,3,2880,0,1989,0,16614 SE 50th Pl,Bellevue,WA 98006,high
352000.0,4.0,1.0,1530,8890,1.0,0,0,3,980,550,1925,2002,7940 12th Ave SW,Seattle,WA 98106,high
285500.0,4.0,1.75,1960,7950,1.0,0,0,4,1960,0,1967,0,32500-32514 35th Ave SW,Federal Way,WA 98023,low
235000.0,3.0,1.0,1250,15603,1.0,0,0,4,1250,0,1959,0,12522 SE 105th St,Renton,WA 98056,low
366000.0,3.0,1.75,1510,8301,1.0,0,0,3,1510,0,1967,2011,8835 NE 138th St,Kirkland,WA 98034,high
300000.0,4.0,2.5,2070,7476,2.0,0,0,3,2070,0,2003,0,11366 SE 298th Pl,Auburn,WA 98092,low
380000.0,2.0,1.0,1210,4800,1.0,0,0,3,1060,150,1950,2005,4532 13th Ave S,Seattle,WA 98108,high
430000.0,3.0,2.0,1360,5120,1.5,0,0,4,910,450,1924,0,4822 48th Ave SW,Seattle,WA 98116,high
400000.0,3.0,2.5,2970,23100,1.0,0,0,3,1510,1460,1967,2011,15351 NE 202nd St,Woodinville,WA 98072,high
599000.0,5.0,2.75,2730,22572,1.0,0,0,3,2080,650,1968,1992,22631 SE 18th Pl,Sammamish,WA 98075,high
600000.0,3.0,2.25,1480,5400,2.0,0,0,4,1480,0,1914,1945,816 Martin Luther King Jr Way,Seattle,WA 98122,high
542500.0,5.0,3.25,3010,1074218,1.5,0,0,5,2010,1000,1931,0,16200-16398 252nd Ave SE,Issaquah,WA 98027,high
604700.0,4.0,2.75,2750,14982,1.0,0,3,3,1720,1030,1981,2013,27318 10th Pl S,Des Moines,WA 98198,high
282000.0,4.0,2.0,1890,6302,2.0,0,0,3,1890,0,1997,0,10125 SE 242nd Pl,Kent,WA 98030,low
274950.0,3.0,1.0,1450,8820,1.0,0,0,3,1050,400,1958,2004,5619 S 149th St,Tukwila,WA 98168,low
399950.0,3.0,2.5,2570,10431,2.0,0,0,3,2570,0,1989,0,9531 S 204th Pl,Kent,WA 98031,high
129000.0,1.0,1.0,650,15364,1.0,0,0,4,650,0,1967,0,13712 SE 256th Pl,Kent,WA 98042,low
255000.0,2.0,1.0,810,7980,1.0,0,0,1,810,0,1928,0,12727 2nd Ave SW,Seattle,WA 98146,low
232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,1958,1972,20220 8th Ave S,Des Moines,WA 98198,low
870000.0,4.0,2.5,3520,6773,2.5,0,0,3,2650,870,2006,0,7921 45th Ave SW,Seattle,WA 98136,high
230000.0,2.0,1.0,930,7550,1.0,0,0,3,930,0,1986,0,13008 23rd Ave S,SeaTac,WA 98168,low
270000.0,3.0,1.0,1500,13500,1.0,0,0,4,1500,0,1968,0,20147 SE 152nd St,Renton,WA 98059,low
259000.0,3.0,2.0,1870,5909,1.0,0,0,3,1270,600,1986,0,11834 SE 263rd Ct,Kent,WA 98030,low
260000.0,3.0,1.75,1440,12888,1.0,0,2,3,1090,350,1958,2004,14710 57th Ave S,Tukwila,WA 98168,low
203000.0,3.0,1.0,1150,7156,1.0,0,0,4,1150,0,1953,1983,1226 S 130th Pl,Burien,WA 98168,low
641633.333333,3.0,2.5,2480,5137,2.0,0,0,3,2480,0,2000,0,13202 NE 92nd Way,Redmond,WA 98052,high
548800.0,4.0,1.0,1660,4704,1.5,0,0,3,1260,400,1930,1997,8612 8th Ave NE,Seattle,WA 98115,high
497000.0,3.0,2.25,1630,3817,2.0,0,0,3,1630,0,2005,0,1981 24th Ave NE,Issaquah,WA 98029,high
355300.0,3.0,2.5,1620,7410,1.0,0,0,5,1620,0,1955,0,19584-19766 Meridian Ave N,Shoreline,WA 98133,high
725000.0,4.0,2.5,2490,5170,2.0,0,0,4,2490,0,2000,0,13321 NE 92nd Way,Redmond,WA 98052,high
400000.0,4.0,3.5,2370,3692,2.5,0,0,3,2370,0,2013,1923,3704 NE 14th St,Renton,WA 98056,high
498500.0,5.0,2.75,2990,7420,2.0,0,0,3,2990,0,1996,0,4304 NE 7th St,Renton,WA 98059,high
239950.0,3.0,1.75,1670,6900,1.0,0,0,3,1170,500,1978,0,33838 37th Ave SW,Federal Way,WA 98023,low
270000.0,2.0,1.5,840,867,2.0,0,0,3,840,0,2005,0,9122 23rd Ave NE,Seattle,WA 98115,low
370000.0,2.0,1.0,860,6050,1.0,0,0,3,860,0,1952,2008,3818 53rd Ave SW,Seattle,WA 98116,high
470000.0,3.0,1.5,1510,8000,1.0,0,0,4,1510,0,1956,0,2559 155th Ave SE,Bellevue,WA 98007,high
310000.0,3.0,1.75,2070,37904,1.0,0,0,4,1420,650,1973,0,19654 116th Ave SE,Kent,WA 98031,low
560000.0,3.0,2.0,2560,216777,1.0,0,0,3,2560,0,1986,0,19211 SE 342nd St,Auburn,WA 98092,high
440000.0,2.0,1.5,1010,1968,1.5,0,0,5,1010,0,1906,0,6411 22nd Ave NW,Seattle,WA 98107,high
615000.0,3.0,1.75,1720,4080,1.0,0,0,4,960,760,1924,0,3219 37th Pl S,Seattle,WA 98144,high
355000.0,3.0,2.5,2110,4038,2.0,0,0,4,2110,0,1989,0,23884 140th Ln SE,Kent,WA 98042,high
255000.0,3.0,2.5,1720,6194,2.0,0,0,3,1720,0,1998,2006,5130 Francis Ct SE,Auburn,WA 98092,low
308000.0,3.0,1.0,1640,18144,1.5,0,0,3,1640,0,1942,1999,11211 3rd Ave S,Seattle,WA 98168,low
585000.0,3.0,2.5,2270,100545,2.0,0,0,3,2270,0,1998,2006,10613 SW 138th St,Vashon,WA 98070,high
390000.0,3.0,2.0,1463,868,3.0,0,0,3,1463,0,2003,0,7538 Roosevelt Way NE,Seattle,WA 98115,high
1010000.0,4.0,2.5,3760,29224,2.0,0,0,3,3760,0,1987,2000,15736 NE 134th St,Redmond,WA 98052,high
275000.0,3.0,1.75,1860,15681,1.0,0,0,4,1860,0,1971,0,304 SW 316th St,Federal Way,WA 98023,low
475000.0,3.0,2.25,1820,8008,1.0,0,0,3,1240,580,1981,2013,17202 NE 134th Pl,Redmond,WA 98052,high
364900.0,3.0,3.0,2500,8304,2.0,0,0,3,2500,0,1997,0,13124 SE 223rd Ct,Kent,WA 98031,high
1200000.0,4.0,2.0,2120,3360,2.0,0,0,3,2120,0,1905,2010,420 17th Ave E,Seattle,WA 98112,high
267000.0,3.0,1.0,1400,8100,1.5,0,0,3,1400,0,1944,0,11520 36th Ave NE,Seattle,WA 98125,low
336900.0,3.0,1.75,1780,120661,1.0,0,0,4,1780,0,1979,0,33030 NE 201st St,Duvall,WA 98019,low
240000.0,3.0,2.0,1400,6200,1.0,0,0,3,700,700,1948,1994,1610 N 185th St,Shoreline,WA 98133,low
544500.0,4.0,2.5,2230,10414,1.0,0,0,5,1450,780,1974,0,3022 254th Ave SE,Issaquah,WA 98075,high
423050.925926,2.0,1.0,890,4590,1.0,0,0,3,890,0,1923,1998,332 NW 84th St,Seattle,WA 98117,high
425000.0,3.0,1.5,1300,19163,1.0,0,0,3,1300,0,1964,2000,14011 NE 71st Pl,Redmond,WA 98052,high
195000.0,3.0,1.75,1380,7350,1.0,0,0,3,990,390,1981,2013,18600-18698 SE 259th Pl,Covington,WA 98042,low
279000.0,5.0,2.5,2690,5557,2.0,0,0,3,2690,0,2012,1912,6421 S 124th St,Seattle,WA 98178,low
488000.0,5.0,2.0,2020,5000,1.5,0,0,4,2020,0,1938,0,9020-9024 11th Ave NW,Seattle,WA 98117,high
350000.0,4.0,3.0,2560,5606,2.0,0,0,3,2560,0,2004,2003,12251 SE 306th Ct,Auburn,WA 98092,low
410000.0,6.0,2.75,2520,9324,1.0,0,0,4,1320,1200,1962,0,3306 NE 185th St,Lake Forest Park,WA 98155,high
665000.0,3.0,2.5,2190,10370,2.0,0,0,3,2190,0,1987,2000,1345 232nd Pl NE,Sammamish,WA 98074,high
355000.0,2.0,1.0,1240,27042,1.0,0,1,3,1000,240,1943,2002,11516 103rd Ave SW,Vashon,WA 98070,high
925000.0,4.0,2.5,3280,209088,2.0,0,0,3,3280,0,1994,0,5310 236th Ave NE,Redmond,WA 98053,high
337000.0,3.0,2.25,1460,941,3.0,0,0,3,1460,0,2006,0,11707 Greenwood Ave N,Seattle,WA 98133,low
192000.0,2.0,1.0,700,10540,1.0,0,0,3,700,0,1953,0,124 SW 185th St,Normandy Park,WA 98166,low
485000.0,3.0,2.25,2440,47916,2.0,0,0,3,2090,350,1991,0,3036 E Ames Lake Dr NE,Redmond,WA 98053,high
210000.0,3.0,2.5,1040,2643,2.0,0,0,3,720,320,2004,2003,5145 S Roxbury St,Seattle,WA 98118,low
519995.0,4.0,3.0,2590,6160,2.0,0,0,3,2590,0,2014,0,14012 163rd Pl SE,Renton,WA 98059,high
300000.0,2.0,1.0,750,5120,1.0,0,0,4,750,0,1941,1998,7920 34th Ave SW,Seattle,WA 98126,low
580000.0,4.0,2.5,2220,7064,2.0,0,0,3,2220,0,1988,2000,4055 238th Pl SE,Issaquah,WA 98029,high
412000.0,2.0,1.0,1260,3960,1.0,0,0,3,690,570,1925,2002,8329 27th Ave NW,Seattle,WA 98117,high
254000.0,3.0,1.5,1770,17208,1.0,0,0,3,1160,610,1959,1989,16726 SE 45th St,Bellevue,WA 98006,low
259500.0,3.0,1.75,1650,12349,1.0,0,0,3,1650,0,1957,2000,4104 S 179th St,SeaTac,WA 98188,low
645000.0,4.0,2.5,2430,14400,1.0,0,0,5,1670,760,1963,0,15048 NE 11th Pl,Bellevue,WA 98007,high
960000.0,5.0,4.0,3720,15200,2.0,0,0,3,3720,0,2005,0,1414 235th Pl SE,Sammamish,WA 98075,high
205425.0,2.0,1.75,880,6780,1.0,0,0,4,880,0,1945,0,11440 69th Pl S,Seattle,WA 98178,low
315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,1968,1997,15804 198th Pl NE,Woodinville,WA 98077,low
809950.0,4.0,2.0,2230,9900,1.5,0,0,5,2230,0,1959,0,12519 SE 15th St,Bellevue,WA 98005,high
375000.0,2.0,1.0,1230,1820,2.0,0,0,4,830,400,1948,0,3257 NW Market St,Seattle,WA 98107,high
252500.0,3.0,2.0,1900,8002,1.0,0,0,3,1900,0,1991,0,1209 SW 347th Pl,Federal Way,WA 98023,low
145000.0,3.0,1.0,1010,5490,1.0,0,0,3,1010,0,1954,2005,14056 31st Ave S,SeaTac,WA 98168,low
530000.0,3.0,1.75,1250,6041,1.5,0,0,5,1250,0,1942,0,2202 NE 83rd St,Seattle,WA 98115,high
925000.0,5.0,5.5,5190,12637,2.0,0,2,3,5190,0,2001,0,6525 Cascade Ave SE,Snoqualmie,WA 98065,high
482000.0,3.0,2.25,1710,21485,2.0,0,0,3,1710,0,1989,0,1022 215th Ave NE,Sammamish,WA 98074,high
1300000.0,4.0,4.0,4270,6002,2.0,0,3,3,3180,1090,2004,2003,1645 30th Ave NE,Issaquah,WA 98029,high
585000.0,3.0,2.5,1910,1501,2.5,0,0,3,1530,380,2007,0,2637 22nd Ave W,Seattle,WA 98199,high
231000.0,4.0,2.0,1530,6375,2.0,0,0,3,1530,0,1942,1983,14904 133rd Ave SE,Renton,WA 98058,low
215000.0,3.0,1.0,1200,7280,1.0,0,0,4,1200,0,1967,0,4503 S 256th St,Kent,WA 98032,low
930000.0,4.0,2.5,2200,4000,2.0,0,0,5,1430,770,1908,0,2418 10th Ave W,Seattle,WA 98119,high
420000.0,3.0,2.0,1200,5029,1.0,0,0,3,880,320,1937,1999,3049 NE 90th St,Seattle,WA 98115,high
710000.0,3.0,3.5,2440,3427,2.0,0,0,3,1990,450,2000,0,2469 132nd Ave SE,Bellevue,WA 98005,high
554000.0,4.0,1.0,1120,7104,1.5,0,0,3,1120,0,1946,0,1212 NW 105th St,Seattle,WA 98177,high
968000.0,6.0,2.75,3610,17580,1.0,0,4,5,2070,1540,1959,0,20303 SE 40th St,Sammamish,WA 98075,high
270000.0,3.0,1.75,1390,10905,1.0,0,0,3,860,530,1957,2000,5601-5605 21st Ave SW,Seattle,WA 98106,low
240000.0,2.0,1.75,1330,7200,1.0,0,0,3,1330,0,1993,0,17451 42nd Ln S,SeaTac,WA 98188,low
503000.0,2.0,1.75,2860,59612,1.0,1,4,3,1510,1350,1948,2003,4338 SW 307th St,Federal Way,WA 98023,high
512031.0,3.0,1.75,1540,3000,1.0,0,2,3,770,770,1920,1979,6528 3rd Ave NW,Seattle,WA 98117,high
498000.0,4.0,2.75,2270,7375,1.0,0,0,4,1290,980,1973,0,12901 NE 136th St,Kirkland,WA 98034,high
691000.0,4.0,2.75,2550,8632,1.0,0,0,3,1700,850,1972,2002,4118 107th Pl NE,Kirkland,WA 98033,high
540500.0,5.0,3.75,3090,7415,2.0,0,0,3,3090,0,2014,0,493 S 187th Ln,Burien,WA 98148,high
957000.0,5.0,3.25,3160,5000,2.0,0,2,3,2180,980,2005,0,3700 W Fulton St,Seattle,WA 98199,high
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,high
575000.0,4.0,2.5,2120,9603,2.0,0,0,3,2120,0,1985,0,460 Indigo Pl NW,Issaquah,WA 98027,high
350000.0,4.0,2.5,2040,22653,2.0,0,0,3,2040,0,2011,0,2471 S 116th Way,Seattle,WA 98168,low
804995.0,5.0,1.5,3360,5402,2.0,0,0,3,3360,0,2014,0,21481 SE 2nd Pl,Sammamish,WA 98074,high
650000.0,4.0,3.0,3720,57499,1.0,0,0,3,1880,1840,2003,0,4316 331st Ave NE,Carnation,WA 98014,high
210000.0,4.0,1.5,1920,10403,1.0,0,0,3,1370,550,1959,1989,2352 SW 338th St,Federal Way,WA 98023,low
312500.0,2.0,1.5,1070,1200,2.0,0,0,3,1070,0,1999,0,9404 Linden Ave N,Seattle,WA 98103,low
494000.0,4.0,2.5,1830,7345,1.0,0,0,4,1540,290,1973,0,1220 NW 199th Pl,Shoreline,WA 98177,high
1385000.0,6.0,2.75,5700,20000,1.0,0,4,4,2850,2850,1977,0,4600-4748 136th Ave SE,Bellevue,WA 98006,high
1170000.0,4.0,2.5,2570,6251,2.0,0,0,3,2570,0,2000,0,1915 107th Ave SE,Bellevue,WA 98004,high
452000.0,4.0,1.0,1210,3760,1.5,0,0,3,1210,0,1900,2005,1106 N 80th St,Seattle,WA 98103,high
635000.0,4.0,2.5,3080,35430,2.0,0,0,3,3080,0,1997,0,9788-16090 NE Quail Creek Dr,Redmond,WA 98053,high
1150000.0,3.0,2.5,3830,48743,2.0,0,0,3,3830,0,1991,0,16123 SE 44th Way,Bellevue,WA 98006,high
385000.0,3.0,2.25,1710,11500,1.0,0,0,3,1210,500,1978,0,19215 58th Ave NE,Kenmore,WA 98028,high
420000.0,4.0,2.5,3040,24123,2.0,0,0,3,3040,0,1999,0,4620 Kennedy Ave SE,Auburn,WA 98092,high
390000.0,3.0,3.25,1370,913,2.0,0,0,3,1100,270,2006,0,4438 44th Ave SW,Seattle,WA 98116,high
451000.0,4.0,2.5,1670,3315,2.0,0,0,3,1670,0,2005,0,2319 NE Marion Ln,Issaquah,WA 98029,high
815000.0,4.0,2.5,3150,4203,2.0,0,0,3,3150,0,2002,0,9714 132nd Ave NE,Kirkland,WA 98033,high
